Name,Beta,Jensen Alpha,Sharpe Ratio,Treynor Ratio,Tracking Error,AUM
Bahana Progressive Protected Fund 178,0.000000,0.000000,-1.277133,0.000000,-0.391120,47873653879.930000
REKSA DANA SYARIAH MAYBANK MONEY MARKET FUND 2,0.000000,0.000000,-19.121450,0.000000,0.041326,11419308256.400000
ITB Harmoni BNI-AM,0.723834,-0.025029,-2.421826,-0.062497,-0.017318,81597439527.550003
STAR BALANCED,0.135579,-0.060527,-0.441313,-0.295050,-0.191388,59909548247.449997
Sucorinvest Proteksi 33,0.000000,0.000000,-0.149908,0.000000,0.058193,140085035024.950012
Kresna Proteksi Cemerlang Seri 5,0.000000,0.000000,-1.327253,0.000000,0.013750,151128461817.730011
DANAKITA PROTEKSI PENDAPATAN BERKALA,0.000000,0.000000,-0.971145,0.000000,0.014314,29755690479.200001
NIKKO INDONESIA MONEY MARKET FUND,0.000000,0.000000,-10.876254,0.000000,0.023088,10573679477.590000
SCHRODER INDO EQUITY FUND,1.024966,-0.034788,0.910064,0.117444,-0.031009,18569038591.009998
SYAILENDRA CAPITAL PROTECTED 12,0.000000,0.000000,-2.364947,0.000000,-0.014929,231764941185.410004
PRATAMA SYARIAH,0.710559,0.027450,0.182404,0.034799,0.028560,12219576331.879999
KERATON BALANCE,0.025722,0.067231,0.509637,2.765167,-0.080260,21358883332.119999
PREMIER ETF IDX30,1.169945,0.040087,1.393135,0.185649,0.065814,2707227826756.290039
Maybank Dana Proteksi 10,0.000000,0.000000,-1.301613,0.000000,-0.466475,57625885863.000000
Avrist Liquid Fund,0.000000,0.000000,-14.563946,0.000000,0.026913,5451180112.030000
Batavia Proteksi Cemerlang 88,0.000000,0.000000,-2.443219,0.000000,0.018526,25519570465.040001
Bahana Progressive Protected Fund 188,0.000000,0.000000,-1.835254,0.000000,0.005434,117784085349.330002
Mega Dana Terproteksi XXIII,0.000000,0.000000,-1.703521,0.000000,-0.008427,224438251905.950012
SYAILENDRA EQUITY OPPORTUNITY FUND KELAS A,1.067975,-0.035908,0.790859,0.117763,-0.025617,398646275066.969971
PENDAPATAN TETAP UTAMA,0.250957,-0.057943,-2.494910,-0.258808,-0.037030,717187121580.189941
Batavia Proteksi Ultima 26,0.000000,0.000000,0.349639,0.000000,0.115991,102001069202.449997
SYAILENDRA LIBERTY FUND,0.448303,-0.127015,-5.194028,-0.311242,-0.111612,2447927.180180
BAHANA REVOLVING FUND,0.000000,0.000000,1.012314,0.000000,0.173142,509109453395.119995
Syailendra Money Market Fund 6,0.000000,0.000000,-3.533275,0.000000,0.011344,451590781922.059998
Mandiri Seri 158,0.000000,0.000000,-1.113797,0.000000,-0.656656,46874571857.400002
Trimegah Terproteksi Prima 25,0.000000,0.000000,-2.262467,0.000000,0.009945,220893055446.019989
INSIGHT TERPROTEKSI 2,0.000000,0.000000,-0.943827,0.000000,0.023912,101053308235.630005
FWD Asset Philanthropy Equity Fund,1.089133,-0.113746,0.374128,0.046948,-0.100252,40407390357.050003
Mandiri Indeks LQ45,1.175904,0.002573,1.183215,0.153573,0.029203,443376903529.539978
Victoria 10,0.000000,0.000000,0.272875,0.000000,0.215109,160174898105.309998
MAJORIS OBLIGASI UTAMA INDONESIA,0.963420,-0.020005,-1.896382,-0.048684,-0.018984,21469539417.299999
PNM SBN 90,0.570858,-0.043878,-2.858186,-0.104783,-0.031897,345978884104.619995
Trimegah Fixed Income Plan,0.203302,-0.043327,-2.181831,-0.241036,-0.021084,500764377042.419983
Trimegah Dana Tetap Optima 2,0.303622,-0.004725,-1.436318,-0.043483,0.014717,303086368784.059998
Avrist IDX30,1.169570,0.011522,1.220534,0.161236,0.037192,214128455294.589996
Bahana Premium Protected Fund 143,0.000000,0.000000,-2.468876,0.000000,-0.015552,103919022374.699997
BAHANA D OPTIMA PROTECTED FUND 56,0.000000,0.000000,-2.702473,0.000000,0.007537,280253803785.750000
BNP PARIBAS RUPIAH PLUS,0.000000,0.000000,-88.880936,0.000000,0.013953,1047392162446.560059
Nusadana Proteksi 10,0.000000,0.000000,-0.445033,0.000000,0.044340,164346818844.959991
BNP Paribas Pasar Uang Syariah,0.000000,0.000000,-28.210350,0.000000,0.018948,14953187470.340000
DANAMAS DOLAR,-0.004722,-0.036736,-27.999554,7.751242,-0.008685,135142515.126280
MNC DANA TERPROTEKSI VIII,0.000000,0.000000,-0.918225,0.000000,0.026140,1756489.410000
PROSPERA VALUE FUND,0.595032,0.097810,1.922298,0.315762,0.036504,99359671550.610001
Syailendra Equity Garuda Fund,1.106304,0.005188,1.186626,0.156074,0.021281,649174202029.979980
REKSA DANA CIPTA OBLIGASI RUPIAH,0.843605,0.033429,0.297294,0.011708,0.037796,104393995858.619995
Danareksa Proteksi 60,0.000000,0.000000,-3.796491,0.000000,-0.421246,30962323797.570000
RHB Money Market Fund 8,0.000000,0.000000,-35.439228,0.000000,0.029868,107899456825.830002
Star Protected Dollar II,0.000000,0.000000,-1.837243,0.000000,-0.095386,2756697.343610
HPAM SMART PROTECTED IV,0.000000,0.000000,-2.451733,0.000000,-0.010268,109925412717.919998
DANAREKSA MELATI PENDAPATAN UTAMA SYARIAH,0.628298,0.035697,-0.011287,-0.000475,0.056993,300563312584.289978
BAHANA PROVIDENT FUND,0.052422,-0.019330,-3.700336,-0.396659,0.007125,173217220842.600006
Asanusa Balanced Fund,-0.475741,-0.784610,-0.732358,1.792492,-0.996015,838349520.490000
Mandiri Seri 221,0.000000,0.000000,-1.720356,0.000000,0.009528,168585885395.000000
Maybank CPF XV,0.000000,0.000000,-1.518165,0.000000,0.009793,255818183471.000000
